Country;Store;Store Name;Address;Postal code;City;Region;Latitude;Longitude
FR;FR0163;Serris, Val d'Europe;Rue du Général de Gaulle;77090;Collégien;1;48,8551158;2,7758645
FR;FR0164;La Roche-sur-Yo, Les Flaneries;;;;13;46,6922605;-1,4304857
FR;FR0165;Les Ulis;Avenue de l’Aubrac;91940;Les Ulis;11;48,6777984;2,1688442
FR;FR0166;Saint-Brieuc, Rue Saint-Guillaume;40-42 rue Saint Guillaume;22000;Saint-Brieuc;8;48,5127022;-2,7615638
FR;FR0167;Annemasse, rue du commerce;;74100;Annemasse;12;46,1934068;6,2325567
FR;FR0168;Vannes, Rue du Mené;22 Rue du Mené - 9 rue Brizeux;56000;Vannes;13;47,659004;-2,7592148
FR;FR0169;Brest, Espace Jaurès;65 Rue Jean Jaurés;29200;Brest;8;48,3934201;-4,482045
FR;FR0170;Fareberswiller, B’Est;61 avenue Saint-Jean;57450;Farebersviller;9;49,1130246;6,8492118
FR;FR0171;Strasbourg, Hautepierre;1 Place André Maurois;67200;Strasbourg;9;48,5919376;7,6930842
FR;FR0172;Villeneuve d'Ascq, V2;Boulevard de Valmy;59650;Villeneuve-d'Ascq;2;50,619311;3,1245539
FR;FR0176;Levallois-Perret, So Ouest;31 rue d’Alsace;92300;Levallois-Perret;5;48,8917673;2,2947214
FR;FR0177;Bourges, Avaricum;8 Av. de Peterborough;18000;Bourges;11;47,087629;2,3937784
FR;FR0179;Amiens;8 rue des Trois Cailloux;80000;Amiens;3;49,8927189;2,2958741
FR;FR0181;Porte Jeune;;68000;Mulhouse;6;47,7494501;7,3383601
FR;FR0182;Orléans, Place d'Arc;;92100;Boulogne-Billancourt;5;47,9082151;1,9058469
FR;FR0183;Brest, Iroise;Brest;29200;Empty;8;48,3845373;-4,535567
FR;FR0184;Caen, Herouville;Quartier Val;14200;Herouville Saint Clair;8;49,2042362;-0,3498782
FR;FR0185;Marseille, Centre Valentine;Rte de la Sablière D2;13011;Marseille;10;43,2931424;5,4777865
FR;FR0186;Reims, Cora Cormontreuil;Route de Louvois;54300;Cormontreuil;9;49,2105062;4,0487784
FR;FR0188;Bordeaux, Meriadeck;;;;7;44,8148411;-0,615499
FR;FR0189;Auxerre, Les Clairions;Avenue Haussmann;89000;Auxerre;6;47,8105419;3,5714485
FR;FR0190;Troyes, Rue Emile Zola;74-78 Rue Emile Zola;10000;Troyes;6;48,296299;4,0720342
FR;FR0191;La Rochelle, Beaulieu;Rue du 14 Juillet;17138;Puilboreau;13;;
FR;FR0192;Rouen, Rue aux Juifs;22 Rue Casimir Périer;76600;Le Havre;8;49,4416368;1,0935824
FR;FR0194;Lille, Euralille;2 Rue de Faubourg des Postes;59000;Lille;2;50,6372247;3,0721061
FR;FR0196;Angers, Grand Maine;10 Rue du Grand Launay;49100;Angers;13;47,4659385;-0,5941996
FR;FR0198;Chem. de Barboussade;4 Chem. de Barboussade;13500;Martigues;4;43,4250741;5,0479424
FR;FR0199;Boulogne-Billancourt, Blvd Je;44 Boulevard Jean Jaures;92100;Boulogne-Billancourt;5;48,8416714;2,2361518
FR;FR0201;Toulon, Grand Var;Centre Commercial Mayol, Rue du Mûrier;83000;Poulon;10;43,1414233;6,0114316
FR;FR0202;;Allée de Corse – Esplanade Patrice Chéreau;92200;Nanterre;5;48,8960586;2,1626153
